period,time,HR,BR,activity,skin,ambulation,drink,drinkactivity,drinking,Positive,Negative,Fear,Hostility,Sadness
4/8/2015,20.2528,72,13,1078.082605,33.43228849,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2542,74,14,1075.360752,33.54587376,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2556,72,15,1077.710913,33.3757093,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2569,83,15,1071.028169,33.30881074,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2583,73,15,1045.212505,33.22196777,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2597,73,15,1057.02613,33.52273881,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.2611,83,15,1069.082792,33.95995808,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2625,74,15,1066.148085,33.87542054,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2639,72,16,1078.231044,33.80714582,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2653,72,16,1081.460708,33.51931219,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2667,69,16,1081.217021,33.64143014,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2681,71,15,1084.829478,33.49651062,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2694,69,15,1082.537291,33.36682463,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2708,71,16,1089.523236,33.40704334,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2722,74,16,1078.169362,33.34480871,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2736,73,16,1065.142586,33.28008784,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.275,72,16,1064.563864,33.28799287,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2764,72,15,1060.43647,33.29186753,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2778,71,15,1056.820955,33.27916597,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2792,72,15,1064.265657,33.301815,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2806,73,16,1051.209549,33.26759057,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2819,71,16,1071.954162,33.32198619,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2833,75,16,1078.269041,33.21991953,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.2847,76,15,1063.395911,33.55656516,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2861,68,15,1054.150931,34.26241041,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2875,75,14,1053.074941,33.91943835,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2889,82,12,1060.145042,34.46168376,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2903,78,12,1051.578887,33.88466216,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2917,74,12,1054.164812,33.88466216,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2931,72,12,1052.520401,34.57723926,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2944,72,13,1050.520501,33.83458448,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2958,72,13,1051.881011,34.08783212,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2972,71,13,1053.740178,33.86152348,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.2986,72,13,1055.741505,33.79892263,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3,70,14,1051.743126,33.76549965,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3014,71,15,1056.846841,33.84088239,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3028,64,17,1048.774528,33.88178875,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3042,79,18,1058.848451,33.91143605,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3056,72,19,1088.68989,33.84431522,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3069,72,19,1084.104747,33.96288252,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.3083,71,19,1069.104821,33.74631322,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.3097,76,20,1058.543731,34.33404188,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3111,73,20,1060.132208,33.88850791,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3125,72,19,1051.601582,33.88850791,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3139,72,18,1065.724537,33.88850791,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3153,76,18,1067.324641,34.15040133,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3167,74,17,1051.938609,34.37927508,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3181,70,16,1053.413795,34.17105541,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3194,69,16,1053.176656,34.08639083,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3208,69,16,1054.418918,34.08714935,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3222,68,15,1056.608767,34.08861565,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3236,71,15,1059.235482,34.09039221,Stationary,0,0,0,1.3,1.238095238,1.5,1.166666667,1
4/8/2015,20.325,71,15,1062.955198,34.0845462,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3264,69,14,1067.130159,34.09295201,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3278,70,14,1065.491071,34.08063543,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3292,71,14,1063.182556,34.10136389,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3306,69,15,1063.949554,34.04870818,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3319,66,15,1064.893829,33.97622838,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3333,66,16,1064.74026,33.99292788,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3347,67,18,1064.835509,33.98809335,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3361,67,18,1064.849792,33.98493321,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3375,67,18,1064.658153,33.99842877,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3389,67,18,1065.359115,33.95113394,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3403,68,18,1065.137619,33.87395824,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3417,69,18,1065.467915,33.8956539,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.3431,68,19,1065.641364,33.88406015,Stationary,0,0,0,0,0,0,0,0
